size,address,rate,status,bathrooms,floor,balconies,security_deposit,facing,status.1,rera_id,ownership_type,booking_amount,overlooking,bedroom,type1,type2,price_in_lakh,carpet_area,age_of_property,floor,total_floor,additional_rooms,price_negotiable,balconies,type_of_sale,booking_amount_in_lakh,amenities_sports_facility,amenities_shopping_mall,amenities_maintenance_staff,amenities_jogging_track,amenities_atm,amenities_gymnasium,amenities_indoor_games,amenities_rain_water_harvesting,amenities_swimming_pool,amenities_intercom,amenities_cafeteria,amenities_full_power_backup,amenities_lift,amenities_childrens_play_area,amenities_car_parking,amenities_landscaped_gardens,amenities_24_x_7_security,amenities_club_house,amenities_staff_quarter,amenities_hospital,amenities_multipurpose_room,amenities_vaastu_compliant,amenities_golf_course,amenities_school,furnish_detail_gas_connection,furnish_detail_ac,furnish_detail_bed,furnish_detail_dining_table,furnish_detail_washing_machine,furnish_detail_tv,furnish_detail_microwave,furnish_detail_wardrobe,furnish_detail_sofa,furnish_detail_wifi,furnish_detail_refrigerator
375,"sector 70, noida",5066.0,Ready to move,1.0,,,No Deposit,North,Semi-Furnished,,,,,1,BHK,Independent Floor,18.99,375.0,,,,,No,,Resale,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False
1656,"sector 75, noida",15096.0,Ready to move,3.0,,,No Deposit,East,Semi-Furnished,UPRERAPRJ757529,,,,3,BHK,Apartment,250.0,1010.0,,,,,No,,Resale,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
1300,"yamuna expressway, noida, noida",8846.0,Ready to move,2.0,,,No Deposit,,Semi-Furnished,UPRERAPRJ918,,,,2,BHK,Apartment,114.99999999999999,1300.0,5,,,,No,,Resale,,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,,,,,,,,,,,
450,"sector 49, noida",3555.0,Ready to move,1.0,,,No Deposit,SouthEast,Unfurnished,,,,,1,BHK,Apartment,16.0,350.0,,,,,No,,Resale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,"sector 78, noida",8123.0,Ready to move,2.0,,,No Deposit,,Semi-Furnished,Rera Not Applicable,,,,2,BHK,Apartment,71.0,775.0,9,,,,No,,Resale,,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,,,,,,,,,,,
1650,"sector 143b, noida",9696.0,Ready to move,4.0,,,No Deposit,,Semi-Furnished,,,,,4,BHK,Apartment,160.0,,3,,,,No,,Resale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,"sector 74, noida",7795.0,Ready to move,2.0,,,No Deposit,North,Semi-Furnished,UPRERAPRJ5017,,,,2,BHK,Apartment,72.5,930.0,5,,,,No,,Resale,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
5400,"sector 93a, noida",13148.0,Ready to move,5.0,,,No Deposit,,Semi-Furnished,Rera Not Applicable,,,,5,BHK,Apartment,710.0,,12,,,,No,,Resale,,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,,,,,,,,,,,
1200,"sector 53, noida",3500.0,Ready to move,2.0,,,No Deposit,,Semi-Furnished,,,,,2,BHK,Apartment,42.0,,,,,,No,,Resale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,"sector 134, noida",6944.0,Ready to move,2.0,,,No Deposit,,Unfurnished,"UPRERAPRJ3853, UPRERAPRJ3900, UPRERAPRJ3894",,,,2,BHK,Apartment,125.0,1100.0,6,,,,No,,Resale,,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,,,,,,,,,,,
